Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,066062,1859,01,25.7,Y
IDCJAC0002,066062,1859,02,25.4,Y
IDCJAC0002,066062,1859,03,24.2,Y
IDCJAC0002,066062,1859,04,23.1,Y
IDCJAC0002,066062,1859,05,19.5,Y
IDCJAC0002,066062,1859,06,15.7,Y
IDCJAC0002,066062,1859,07,14.7,Y
IDCJAC0002,066062,1859,08,17.7,Y
IDCJAC0002,066062,1859,09,18.3,Y
IDCJAC0002,066062,1859,10,23.9,Y
IDCJAC0002,066062,1859,11,23.6,Y
IDCJAC0002,066062,1859,12,25.4,Y
IDCJAC0002,066062,1860,01,25.7,Y
IDCJAC0002,066062,1860,02,23.6,Y
IDCJAC0002,066062,1860,03,24.9,Y
IDCJAC0002,066062,1860,04,21.8,Y
IDCJAC0002,066062,1860,05,18.6,Y
IDCJAC0002,066062,1860,06,15.5,Y
IDCJAC0002,066062,1860,07,14.7,Y
IDCJAC0002,066062,1860,08,16.0,Y
IDCJAC0002,066062,1860,09,17.9,Y
IDCJAC0002,066062,1860,10,20.0,Y
IDCJAC0002,066062,1860,11,21.6,Y
IDCJAC0002,066062,1860,12,23.2,Y
IDCJAC0002,066062,1861,01,24.9,Y
IDCJAC0002,066062,1861,02,26.3,Y
IDCJAC0002,066062,1861,03,25.6,Y
IDCJAC0002,066062,1861,04,21.3,Y
IDCJAC0002,066062,1861,05,17.6,Y
IDCJAC0002,066062,1861,06,16.6,Y
IDCJAC0002,066062,1861,07,13.8,Y
IDCJAC0002,066062,1861,08,15.1,Y
IDCJAC0002,066062,1861,09,18.9,Y
IDCJAC0002,066062,1861,10,22.7,Y
IDCJAC0002,066062,1861,11,22.7,Y
IDCJAC0002,066062,1861,12,25.2,Y
IDCJAC0002,066062,1862,01,25.9,Y
IDCJAC0002,066062,1862,02,25.6,Y
IDCJAC0002,066062,1862,03,25.8,Y
IDCJAC0002,066062,1862,04,21.5,Y
IDCJAC0002,066062,1862,05,18.5,Y
IDCJAC0002,066062,1862,06,16.2,Y
IDCJAC0002,066062,1862,07,15.9,Y
